CdM_X,CdM_Y,C7_X,C7_Y,CIAS_X,CIAS_Y,CIPS_X,CIPS_Y,JOELHO_X,JOELHO_Y,TORNOZELO_X,TORNOZELO_Y,CALCANHAR_X,CALCANHAR_Y,HALUX_X,HALUX_Y
0.4795,1.02091,0.6028823240000001,1.518647583,0.39378479,1.006267212,0.595636902,1.048187012,0.524243774,0.527750061,0.575697632,0.095387169,0.623867065,0.05138588,0.396173981,0.049765442
0.479476,1.02092,0.602876038,1.5186370850000002,0.393733002,1.006255249,0.5956214599999999,1.0481943360000001,0.5241944580000001,0.527734131,0.57570105,0.09538498699999999,0.623865356,0.051383625,0.396173248,0.049765984000000006
0.479452,1.02093,0.6028760989999999,1.518625854,0.393678345,1.006243347,0.595608032,1.048203125,0.524143372,0.527716553,0.5757064820000001,0.095382919,0.62386438,0.051381798000000006,0.396172821,0.049766434
0.479428,1.02093,0.6028819580000001,1.518614014,0.39362118500000004,1.006231689,0.59559668,1.048213623,0.5240917359999999,0.527698059,0.5757140500000001,0.095381088,0.62386438,0.051380585000000006,0.396172882,0.04976667
0.479406,1.02094,0.6028930659999999,1.518602295,0.393561951,1.0062202150000001,0.595587097,1.048225952,0.5240407709999999,0.5276788330000001,0.57572406,0.095379539,0.623865601,0.051380207,0.396173553,0.049766605
0.47938400000000003,1.02094,0.602908569,1.518590576,0.39350125100000005,1.0062093509999999,0.595579285,1.048240601,0.523991943,0.5276597900000001,0.575736389,0.095378311,0.62386853,0.05138084,0.396174957,0.04976614
0.479363,1.02094,0.6029277949999999,1.518578979,0.393439575,1.006199219,0.595572815,1.0482570800000002,0.523946777,0.527641113,0.575751038,0.095377419,0.623873047,0.051382633,0.396177277,0.049765217
0.479343,1.02095,0.602949951,1.5185679929999998,0.393377502,1.006190063,0.595567505,1.048275757,0.523906555,0.527623596,0.5757677609999999,0.095376816,0.623879578,0.051385693,0.39618038899999997,0.049763813
0.47932400000000003,1.02095,0.602974243,1.518557617,0.393315796,1.006182068,0.595562866,1.048296021,0.5238723750000001,0.527607544,0.575786011,0.09537645,0.623887756,0.051390045,0.396184357,0.049761936
0.479305,1.02095,0.602999695,1.518547852,0.39325494400000005,1.006175415,0.5955585330000001,1.0483176269999999,0.523845459,0.5275935060000001,0.575805298,0.095376198,0.623897705,0.051395618,0.396189056,0.049759621000000004
0.47928699999999996,1.02096,0.603025452,1.518538696,0.393195587,1.006170288,0.595553955,1.048340698,0.523826172,0.527581543,0.575825134,0.095375954,0.623909119,0.05140226,0.396194427,0.049756946999999996
0.479269,1.02096,0.6030507199999999,1.518530396,0.393138336,1.0061666870000001,0.595548584,1.048364136,0.523815063,0.527571777,0.5758447879999999,0.095375572,0.623921387,0.051409718,0.39620019500000003,0.049754032000000004
0.479251,1.02096,0.603074646,1.518522339,0.393083649,1.0061647950000001,0.595541809,1.048388062,0.523811829,0.527564514,0.575863342,0.095374916,0.623934204,0.051417651999999994,0.39620626800000003,0.049751002999999995
0.479233,1.02097,0.603096619,1.518515015,0.393031982,1.0061647950000001,0.5955333859999999,1.048411621,0.523815857,0.527559509,0.575880371,0.095373848,0.623947021,0.051425659000000006,0.39621228000000003,0.049747996999999995
0.479214,1.02097,0.603115662,1.5185076899999999,0.392983551,1.006166565,0.5955223999999999,1.048434326,0.523826538,0.52755658,0.575894897,0.095372238,0.623959229,0.0514333,0.39621801799999995,0.049745155
0.479195,1.02098,0.603131409,1.518500977,0.392938629,1.0061700439999999,0.5955086669999999,1.048455933,0.5238425290000001,0.5275554809999999,0.5759064939999999,0.095370003,0.6239703369999999,0.051440125,0.396223206,0.049742607
0.479174,1.02098,0.603143188,1.518494019,0.39289727799999996,1.006175293,0.595491577,1.048475952,0.523862244,0.527555786,0.575914795,0.09536707300000001,0.623979736,0.051445717,0.39622769199999996,0.049740443999999995
0.47915199999999997,1.02098,0.603150696,1.5184869380000001,0.392859344,1.006181946,0.595470825,1.0484938959999999,0.523884216,0.5275570679999999,0.575919495,0.095363449,0.623987061,0.051449726,0.39623114,0.049738743
0.479129,1.02099,0.6031534420000001,1.518479736,0.392824615,1.006190063,0.595445923,1.048509521,0.523906738,0.527559143,0.5759204099999999,0.09535914599999999,0.623992126,0.051451916,0.39623349,0.049737518
0.479105,1.02099,0.603151367,1.518471924,0.392792816,1.006199341,0.5954168089999999,1.048522583,0.52392804,0.527561401,0.575917603,0.095354225,0.623994629,0.051452141,0.39623464999999997,0.049736748
0.47907900000000003,1.02099,0.603144226,1.518463745,0.39276348899999997,1.0062093509999999,0.595383118,1.048533081,0.523946777,0.527563721,0.5759113770000001,0.095348801,0.623994629,0.051450409,0.39623452800000003,0.049736389000000006
0.47905200000000003,1.02099,0.603132141,1.518454834,0.392736084,1.006219971,0.595344849,1.048540894,0.5239615479999999,0.5275656129999999,0.5759021,0.095343025,0.623992249,0.051446849999999995,0.396233246,0.04973634
0.479024,1.02099,0.603115112,1.51844519,0.39270993,1.006230957,0.595302063,1.048546143,0.523971558,0.527566956,0.575890259,0.095337059,0.62398761,0.051441738,0.396230774,0.049736485000000004
0.47899400000000003,1.021,0.6030933230000001,1.518434692,0.39268444799999996,1.006241821,0.5952546999999999,1.048549072,0.5239762570000001,0.52756781,0.575876404,0.0953311,0.6239812010000001,0.051435417000000004,0.396227325,0.049736697999999996
0.478964,1.021,0.603067078,1.51842334,0.392658997,1.006252197,0.595203308,1.0485498050000002,0.523975342,0.527567993,0.575861267,0.095325371,0.623973267,0.051428322,0.396223114,0.049736866
