torque,VL
-3.55312246642245,-1.22100122100122
-4.29679035409034,-1.22100122100122
-4.29679035409034,3.66300366300365
-3.55312246642245,-1.22100122100122
-3.55312246642245,-1.22100122100122
-3.55312246642245,-6.10500610500608
-3.55312246642245,-6.10500610500608
-3.55312246642245,-1.22100122100122
-4.29679035409034,3.66300366300365
-3.55312246642245,3.66300366300365
-3.55312246642245,3.66300366300365
-4.29679035409034,3.66300366300365
-3.55312246642245,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,-1.22100122100122
-4.29679035409034,-6.10500610500608
-4.29679035409034,3.66300366300365
-4.29679035409034,-1.22100122100122
-3.55312246642245,3.66300366300365
-3.55312246642245,3.66300366300365
-4.29679035409034,-1.22100122100122
-3.55312246642245,-1.22100122100122
-4.29679035409034,-6.10500610500608
-3.55312246642245,-1.22100122100122
-3.55312246642245,-1.22100122100122
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-3.55312246642245,-1.22100122100122
-3.55312246642245,3.66300366300365
-4.29679035409034,3.66300366300365
-3.55312246642245,-1.22100122100122
-4.29679035409034,-1.22100122100122
-4.29679035409034,3.66300366300365
-3.55312246642245,3.66300366300365
-3.55312246642245,-1.22100122100122
-3.55312246642245,-1.22100122100122
-3.55312246642245,-1.22100122100122
-4.29679035409034,-1.22100122100122
-3.55312246642245,-6.10500610500608
-4.29679035409034,-10.989010989011
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-3.55312246642245,3.66300366300365
-4.29679035409034,-1.22100122100122
-4.29679035409034,3.66300366300365
-3.55312246642245,3.66300366300365
-3.55312246642245,-6.10500610500608
-3.55312246642245,-1.22100122100122
-3.55312246642245,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-3.55312246642245,-1.22100122100122
-4.29679035409034,-1.22100122100122
-4.29679035409034,-6.10500610500608
-3.55312246642245,-1.22100122100122
-3.55312246642245,-1.22100122100122
-3.55312246642245,3.66300366300365
-4.29679035409034,3.66300366300365
-3.55312246642245,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,3.66300366300365
-3.55312246642245,-1.22100122100122
-4.29679035409034,-6.10500610500608
-4.29679035409034,3.66300366300365
-3.55312246642245,3.66300366300365
-3.55312246642245,-1.22100122100122
-4.29679035409034,3.66300366300365
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-4.29679035409034,-6.10500610500608
-3.55312246642245,3.66300366300365
-3.55312246642245,-1.22100122100122
-4.29679035409034,-1.22100122100122
-3.55312246642245,3.66300366300365
-3.55312246642245,3.66300366300365
-4.29679035409034,3.66300366300365
-3.55312246642245,3.66300366300365
-4.29679035409034,-1.22100122100122
-3.55312246642245,-1.22100122100122
-4.29679035409034,-1.22100122100122
-4.29679035409034,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,-1.22100122100122
-3.55312246642245,-1.22100122100122
-3.55312246642245,-6.10500610500608
-4.29679035409034,-6.10500610500608
-3.55312246642245,-6.10500610500608
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-3.55312246642245,-1.22100122100122
-4.29679035409034,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,3.66300366300365
-3.55312246642245,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-4.29679035409034,3.66300366300365
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-3.55312246642245,-1.22100122100122
-4.29679035409034,-6.10500610500608
-3.55312246642245,-6.10500610500608
-3.55312246642245,-1.22100122100122
-3.55312246642245,-1.22100122100122
-4.29679035409034,-1.22100122100122
-3.55312246642245,3.66300366300365
-4.29679035409034,-1.22100122100122
-4.29679035409034,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,-1.22100122100122
-4.29679035409034,3.66300366300365
-4.29679035409034,3.66300366300365
-4.29679035409034,-1.22100122100122
-4.29679035409034,-1.22100122100122
-3.55312246642245,-1.22100122100122
